,Cadps2_class,Calb2_class,Cdh13_class,Cnr1_class,Cplx2_class,Cryab_class,Cxcl14_class,Gad1_class,Id2_class,Lhx6_class,Pcp4_class,Pde1a_class,Penk_class,Plp1_class,Pnoc_class,Pvalb_class,Reln_class,Rgs4_class,Satb1_class,Snca_class,Sncg_class,Sst_class,Zero
Bcl11b,0.054908442863742385,0.1042658894116169,0.08632067487826736,0.48320454395902335,0.3224773476228949,0.20934893882691508,0.06296333263132312,0.09177320705455583,0.03306359346711431,0.3791999610406248,0.23614185631444937,0.14363240291585583,0.40094563091194774,0.05100719164631889,0.3553659208157772,0.5241297832127989,0.3527285609117861,0.026042803704968167,0.37221456275311054,0.6187969836305495,0.11223696191797942,0.5723147828836557,0.0217396222028593
Cadps2,0.339208749999348,0.5907237466376095,1.0939507154003858,1.3328513259353472,2.092297496503389,0.7952489040948701,2.4805177311170565,1.0444148860759883,0.2398428925771041,3.1010910395318665,4.647874449810365,0.14401472389018313,0.8519517355022241,0.3087078762791226,0.7112689585537396,3.2084604335144924,0.5212454804313559,0.9727277953379655,0.706287172806919,2.2166613681538645,0.31381337679018007,0.12668389399529992,0.07553565051931163
Calb1,0.03480942763130439,1.6065153619585777,0.0,0.000950533757493314,0.023600204170748307,0.030111694321331033,0.08892454048068706,0.031390715946561676,0.011132904125800825,0.041189910515177834,0.06970830214783225,0.2526673875947861,0.026680527481954975,0.010697661033946652,0.0,0.0,0.03007661585385347,0.22280600933834988,0.0,0.090256620041304,0.2731129209240376,0.11060287486437066,0.007076822865356535
Calb2,0.10629440319588422,11.515026742555602,0.03489248517232876,0.6627304177433456,0.05405052586613896,0.0,2.382713048176631,0.015636030895398955,0.01798480988146084,0.07660616890446345,0.060977342953687924,0.21158226214286016,1.596595947394543,0.12647998993468268,0.04610009219729873,0.000532858903337421,0.4191781982003589,4.141085072059046,0.11542416477265992,0.5476901482524664,0.641954132188687,1.633562679181292,0.03400338807121829
Cck,0.01893819788530382,0.10452085542733879,0.0,0.07906287091675974,0.0067628733826114945,0.0011847812845578423,0.07580817477710032,0.046672171459421576,0.0,0.000564991935841601,0.05727599077700057,0.0,0.12420774546202844,0.010519697689381814,0.031171546194236004,0.3479271004090923,0.0,0.17127937131597384,0.11712298867574748,0.036901053036962714,0.13163082109772542,0.13640741152435348,0.005292303643650399
Cdh13,3.6797128859690003,0.008487200673096574,5.610050408336707,1.5018609674949015,2.642195801605894,1.1161013724934112,1.8976565981932088,3.0248785954252555,0.1429575671355219,2.258050965505069,0.0850768315536017,3.844714813372503,1.3215323965569528,0.35254636544025975,1.2561703421503523,2.8578363888664238,0.6567375892189687,0.5625013803269335,1.1180389669114035,1.0685397122050069,11.141694718964297,1.5805603679326847,0.08179657408619605
Chodl,0.007495614959007168,0.0002553503867196482,0.0,0.0,0.05212081013870878,0.32115933885585085,0.0,0.06888257669424216,0.028133113732622547,0.19254685991074053,0.02715673119300952,0.07415338665417608,7.69953710889839e-05,0.013226647361327818,0.17482593416240685,0.1012443125395706,0.22854968414399066,0.028212831563097656,0.0,0.018081525164886588,0.4084953553171161,0.8936490617289173,0.003139628009569663
Chrm2,0.31262499936322014,0.6040552534201021,0.9958124045958126,0.5344128201684246,0.6905606269202521,0.7016614005539615,0.05529052027803615,0.9946201103582073,0.10721440930489447,0.6532898982843778,0.29523822072486816,0.3189277726407225,0.7202038210218773,0.10185236144205452,0.6486425665207138,1.9906919976854198,0.1869580555978803,0.3854980829710723,0.7887579226750342,0.351697261034838,1.9684368011510156,0.18276934841709627,0.035694101218591394
Cnr1,1.9709071049658884,2.4441467150684426,5.159619381643996,8.281835042277603,2.6777730698133735,1.7913374065771495,1.5867115694348302,2.3251976738298286,0.3132643248991636,2.5183497275180935,2.95425356029073,3.5403596465816523,2.2609716294261712,0.49524687021378483,1.6638721627027286,2.9486815645184623,3.039479737574647,0.987815664737227,3.810690979352495,3.173939370107718,4.926289909569049,3.8196911844312593,0.11379347722177496
Col25a1,0.09029108365517215,0.10058527317153462,0.06949165432321563,0.4671363129698415,0.33289488785142374,0.1386755320009418,1.9496535067560565,0.11769141605880545,0.00430128785764188,2.1987657016040334,1.9570912690405398,0.1530517349368932,0.12254115397828709,0.12388952998444692,0.22566765597099364,0.0,0.5435186950856667,0.48144698660124324,0.08787799997294642,1.628828758601331,0.0,0.47345031487209194,0.044036317729295386
