,Bcl11b_class,Cadps2_class,Calb1_class,Calb2_class,Cck_class,Cdh13_class,Chodl_class,Chrm2_class,Cnr1_class,Col25a1_class,Cort_class,Cox6a2_class,Cplx2_class,Cpne5_class,Crh_class,Crhbp_class,Cryab_class,Cxcl14_class,Enpp2_class,Gabrd_class,Gad1_class,Gda_class,Grin3a_class,Hapln1_class,Htr3a_class,Id2_class,Kcnk2_class,Kctd12_class,Kit_class,Lamp5_class,Lhx6_class,Ndnf_class,Neurod6_class,Nos1_class,Nov_class,Npy2r_class,Nr4a2_class,Nrn1_class,Ntng1_class,Pcp4_class,Pde1a_class,Penk_class,Plcxd2_class,Plp1_class,Pnoc_class,Prkca_class,Pthlh_class,Pvalb_class,Rab3c_class,Rasgrf2_class,Reln_class,Rgs10_class,Rgs12_class,Rgs4_class,Satb1_class,Sema3c_class,Serpini1_class,Slc17a8_class,Snca_class,Sncg_class,Sst_class,Synpr_class,Tac1_class,Tac2_class,Th_class,Thsd7a_class,Trp53i11_class,Vip_class,Wfs1_class,Yjefn3_class,Zero
Bcl11b,15.0,0.19582862270897747,0.0,0.2687341477761692,0.0,0.23064266124042773,0.0,0.0,1.5827523417090759,0.0,0.0,0.0,1.5120033612080706,0.0,0.0,0.0,0.6541345956271144,0.17982405911629776,0.0,0.0,0.28614472084707415,0.0,0.0,0.0,0.0,0.08428003712957194,0.0,0.0,0.0,0.0,1.186865077445246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8889907169532087,0.4163036569513049,2.12079212286684,0.0,0.1870120470164925,1.538268967669222,0.0,0.0,1.5681930874069265,0.0,0.0,1.4940096034946428,0.0,0.0,0.08080807902412177,1.6206542008778426,0.0,0.0,0.0,4.302698464306048,0.27007175680916734,1.9592720316096055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cadps2,0.0,1.4674559313712041,0.0,0.9138565481834168,0.0,1.861916244455257,0.0,0.0,2.3711141967470097,0.0,0.0,0.0,6.611032756768759,0.0,0.0,0.0,1.5140537713285551,6.2605545267231415,0.0,0.0,2.382153696253772,0.0,0.0,0.0,0.0,0.3826983156681573,0.0,0.0,0.0,0.0,6.929126349487408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.877771252480215,0.21833892009988307,1.8131881006250046,0.0,0.568689903989918,1.427282130595755,0.0,0.0,6.43048292285513,0.0,0.0,0.9475353614901998,0.0,0.0,2.0040166776915367,1.3675431889920935,0.0,0.0,0.0,8.151809984161746,0.43800322120853447,0.18349336784901935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Calb1,0.0,0.15349321637235788,15.0,8.681035810258033,0.0,4.504237882615651e-05,0.0,0.0,0.003013483323427237,0.0,0.0,0.0,0.11435197511413737,0.0,0.0,0.0,0.09903191750556062,0.3453763270360343,0.0,0.0,0.14271644363660727,0.0,0.0,0.0,0.0,0.04655627373395507,0.0,0.0,0.0,0.0,0.13302738628679067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28259919525107585,1.0242448172832712,0.1148489169436323,0.0,0.049827239169646244,0.0020707903321017544,0.0,0.0,0.000565521161995011,0.0,0.0,0.12453309346002127,0.0,0.0,1.17597622414605,0.0015955308937905532,0.0,0.0,0.0,0.4382172451067762,0.8643148118014122,0.3742576234717357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Calb2,0.0,0.17458761549829943,0.0,47.92953467853266,0.0,0.04997506449134081,0.0,0.0,1.0536655049393646,0.0,0.0,0.0,0.08322676763470717,0.0,0.0,0.0,0.005532255378382339,5.774015068677207,0.0,0.0,0.02600782660642342,0.0,0.0,0.0,0.0,0.0456392232130387,0.0,0.0,0.0,0.0,0.11574011605322353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09328433287742716,0.318278471314878,4.449714036358302,0.0,0.21661435211382601,0.07534963443039963,0.0,0.0,0.0007520363124152136,0.0,0.0,0.7477646881017784,0.0,0.0,20.7370506480426,0.18454297456608354,0.0,0.0,0.0,1.0685330566096138,0.9301540727941113,3.057148376664391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cck,0.0,0.10284968668838514,0.0,0.3914358267217968,15.0,5.6159612781849184e-05,0.0,0.0,0.30721184810159774,0.0,0.0,0.0,0.03186842141039851,0.0,0.0,0.0,0.006296750638067478,0.35065423234819004,0.0,0.0,0.26358054233796335,0.0,0.0,0.0,0.0,0.010108051139655566,0.0,0.0,0.0,0.0,0.002114007360417714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2933457226520748,6.566025111903608e-05,0.7824919780096384,0.0,0.06072378236262737,0.15485478026192864,0.0,0.0,1.4207434266404204,0.0,0.0,2.151581787937019e-05,0.0,0.0,1.0754040150413597,0.6611241982928127,0.0,0.0,0.0,0.21225159645561686,0.4400293225903689,0.5522563288864082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cdh13,0.0,10.968769992537485,0.0,0.010915468215550658,0.0,20.94191949194114,0.0,0.0,2.0947703771666784,0.0,0.0,0.0,5.643595703087754,0.0,0.0,0.0,1.867669674551868,3.168343460745989,0.0,0.0,7.926410990371856,0.0,0.0,0.0,0.0,0.20883623424704342,0.0,0.0,0.0,0.0,3.3639196708700316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13356549784430485,6.9224383778627825,2.181527886130046,0.0,0.5243637220562287,2.0334900824652045,0.0,0.0,4.059184967683243,0.0,0.0,1.0019709753506674,0.0,0.0,0.8184287511803205,1.897055453846299,0.0,0.0,0.0,1.72293398147873,18.169565079257897,2.2319943542779916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chodl,0.0,0.03104630352305723,0.0,0.0007915085251396888,0.0,8.508715240137793e-05,15.0,0.0,0.0005184712010282228,0.0,0.0,0.0,0.23340562909095794,0.0,0.0,0.0,1.4563047212865854,0.00017502584672681286,0.0,0.0,0.35994818495125586,0.0,0.0,0.0,0.0,0.13698270221388456,0.0,0.0,0.0,0.0,0.718059330853336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11001975102009506,0.27057265203834296,0.0011200853684123228,0.0,0.06431910141861745,0.9031067611422244,0.0,0.0,0.32301063989481144,0.0,0.0,1.320741843601617,0.0,0.0,0.12071319384347647,0.004817265501031443,0.0,0.0,0.0,0.08495029122396468,1.395374811236722,4.693363932612421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chrm2,0.0,0.8369697713138539,0.0,1.3569111223050172,0.0,2.6545812333735976,0.0,15.0,1.225759765366964,0.0,0.0,0.0,2.364035170464002,0.0,0.0,0.0,1.897365041550825,0.12691712299466207,0.0,0.0,5.115164466633591,0.0,0.0,0.0,0.0,0.23617622303964847,0.0,0.0,0.0,0.0,1.561296551009763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7829805832582377,0.7132049353305173,2.591590168116577,0.0,0.25696245432834247,2.0095605827685405,0.0,0.0,5.768935395377991,0.0,0.0,0.46038977790389474,0.0,0.0,1.0343623332885006,2.581124112047363,0.0,0.0,0.0,0.9776766493187493,5.208736483806598,0.3715489324821463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cnr1,0.0,3.228592361007255,0.0,3.0755060596372683,0.0,7.499560014577371,0.0,0.0,23.870475538060344,0.0,0.0,0.0,4.692395391641493,0.0,0.0,0.0,2.581265025126787,2.1889581767722857,0.0,0.0,4.170690495415111,0.0,0.0,0.0,0.0,0.43560503057478567,0.0,0.0,0.0,0.0,3.2797567548687265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.127150076822745,5.154512683580943,3.5880768010484596,0.0,0.6840198515448419,2.4526357751005117,0.0,0.0,3.6573930805274415,0.0,0.0,5.266990688818914,0.0,0.0,1.3478667591223708,6.651984084595338,0.0,0.0,0.0,6.1518549955108615,6.059954812474234,5.28612547579108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Col25a1,0.0,0.19036442264379155,0.0,0.18140829459378438,0.0,0.12707018156588815,0.0,0.0,0.9790299439285418,15.0,0.0,0.0,0.82593183764037,0.0,0.0,0.0,0.31432320534203145,8.057826765727855,0.0,0.0,0.27411482497405293,0.0,0.0,0.0,0.0,0.01269709239996655,0.0,0.0,0.0,0.0,7.0682185245349585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.959000168189089,0.3004553943033443,0.24781668679051866,0.0,0.29369755323822605,0.5198317609378802,0.0,0.0,0.000234127366576877,0.0,0.0,1.542332482646753,0.0,0.0,1.2631651039712661,0.20411438824826417,0.0,0.0,0.0,11.527638264794613,0.00024299386811736618,0.995128689619369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
