Class,Prob
Bcl11b_class,5.4024837421976285e-09
Cadps2_class,0.028779136834523968
Calb1_class,5.4024837421976285e-09
Calb2_class,0.005483606257081892
Cck_class,5.4024837421976285e-09
Cdh13_class,0.00591149775368993
Chodl_class,5.4024837421976285e-09
Chrm2_class,5.4024837421976285e-09
Cnr1_class,0.005948666025254865
Col25a1_class,5.4024837421976285e-09
Cort_class,5.4024837421976285e-09
Cox6a2_class,5.4024837421976285e-09
Cplx2_class,0.01846786662886063
Cpne5_class,5.4024837421976285e-09
Crh_class,5.4024837421976285e-09
Crhbp_class,5.4024837421976285e-09
Cryab_class,0.009552050463288005
Cxcl14_class,0.008397399027983105
Enpp2_class,5.4024837421976285e-09
Gabrd_class,5.4024837421976285e-09
Gad1_class,0.03581892335118032
Gda_class,5.4024837421976285e-09
Grin3a_class,5.4024837421976285e-09
Hapln1_class,5.4024837421976285e-09
Htr3a_class,5.4024837421976285e-09
Id2_class,0.034469929377900305
Kcnk2_class,5.4024837421976285e-09
Kctd12_class,5.4024837421976285e-09
Kit_class,5.4024837421976285e-09
Lamp5_class,5.4024837421976285e-09
Lhx6_class,0.005954320006509438
Ndnf_class,5.4024837421976285e-09
Neurod6_class,5.4024837421976285e-09
Nos1_class,5.4024837421976285e-09
Nov_class,5.4024837421976285e-09
Npy2r_class,5.4024837421976285e-09
Nr4a2_class,5.4024837421976285e-09
Nrn1_class,5.4024837421976285e-09
Ntng1_class,5.4024837421976285e-09
Pcp4_class,0.015860021868488287
Pde1a_class,0.007046414674926558
Penk_class,0.019576094746021174
Plcxd2_class,5.4024837421976285e-09
Plp1_class,0.475103050017766
Pnoc_class,0.015854010799768357
Prkca_class,5.4024837421976285e-09
Pthlh_class,5.4024837421976285e-09
Pvalb_class,0.004867635670168824
Rab3c_class,5.4024837421976285e-09
Rasgrf2_class,5.4024837421976285e-09
Reln_class,0.01676754528952192
Rgs10_class,5.4024837421976285e-09
Rgs12_class,5.4024837421976285e-09
Rgs4_class,0.015589194182224271
Satb1_class,0.014046941232980384
Sema3c_class,5.4024837421976285e-09
Serpini1_class,5.4024837421976285e-09
Slc17a8_class,5.4024837421976285e-09
Snca_class,0.02714171428292291
Sncg_class,0.00431211307354741
Sst_class,0.005979111745431743
Synpr_class,5.4024837421976285e-09
Tac1_class,5.4024837421976285e-09
Tac2_class,5.4024837421976285e-09
Th_class,5.4024837421976285e-09
Thsd7a_class,5.4024837421976285e-09
Trp53i11_class,5.4024837421976285e-09
Vip_class,5.4024837421976285e-09
Wfs1_class,5.4024837421976285e-09
Yjefn3_class,5.4024837421976285e-09
Zero,0.2190724973707401
